x,y,z,samples
-3.027,-0.366,4.379,678412
-3.026,-0.367,4.385,678413
-3.008,-0.349,4.401,678414
28.753,2.205,-3.107,741170
28.898,2.241,-2.992,741171
28.775,2.229,-3.086,741172
19.011,-10.296,-0.559,742937
19.014,-10.296,-0.577,742938
19.02,-10.288,-0.56,742939
19.011,-10.294,-0.556,742940
19.012,-10.293,-0.559,742941
19.009,-10.297,-0.546,742942
19.013,-10.292,-0.567,742943
19.018,-10.29,-0.579,742944
19.012,-10.295,-0.566,742945
19.016,-10.297,-0.585,742946
19.013,-10.294,-0.567,742947
19.011,-10.295,-0.56,742948
19.013,-10.296,-0.559,742949
19.02,-10.287,-0.579,742950
19.011,-10.294,-0.559,742951
19.019,-10.319,-0.65,742952
-17.8,-11.619,-6.447,756309
-17.854,-11.688,-6.439,756312
-17.865,-11.664,-6.452,756313
-18.878,15.719,4.096,798057
-19.053,15.541,3.864,798058
-18.908,15.694,4.041,798059
17.532,3.706,4.732,800464
17.522,3.696,4.705,800466
17.538,3.719,4.765,800468
17.565,3.746,4.803,800469
17.562,3.717,4.83,800470
-6.559,-18.892,-21.114,800471
-1.426,6.511,7.91,808735
12.034,21.462,7.657,819489
6.895,7.814,2.672,819491
6.897,7.651,2.597,819492
-2.923,-0.234,4.672,830451
-3.063,-0.41,4.348,830453
-3.031,-0.466,4.23,830454
-3.068,-0.393,4.345,830455
-3.058,-0.401,4.328,830456
-3.06,-0.399,4.336,830457
-21.637,15.885,5.224,854404
-21.668,15.928,5.208,854405
-21.615,15.795,5.227,854406
-21.657,15.866,5.22,854407
-21.601,15.819,5.225,854408
-21.637,15.827,5.247,854409
-21.644,15.832,5.254,854410
-21.646,15.829,5.258,854411
1.298,-2.666,26.442,860025
-3.249,-1.134,3.848,862352
-3.251,-1.132,3.834,862353
-3.235,-1.125,3.83,862354
-3.231,-1.119,3.806,862355
-3.197,-1.093,3.791,862356
-3.204,-1.1,3.8,862357
24.598,1.101,5.202,869033
24.885,0.246,5.531,869034
24.829,-1.096,6.186,869035
2.089,-6.246,8.626,874647
2.09,-6.246,8.609,874648
2.09,-6.245,8.611,874649
-7.773,10.301,18.797,896803
-7.769,10.318,18.798,896804
-7.774,10.282,18.807,896805
-7.778,10.25,18.816,896806
-7.781,10.228,18.82,896807
-7.78,10.22,18.825,896808
-7.783,10.223,18.818,896809
-7.782,10.228,18.818,896810
-7.784,10.206,18.823,896811
-7.784,10.209,18.822,896812
-7.786,10.206,18.819,896813
-7.787,10.203,18.819,896814
-13.267,2.454,-3.794,896815
-13.27,2.435,-3.811,896816
17.364,-1.3,-1.612,897081
17.626,-1.156,-1.76,897083
6.629,1,16.976,898971
-6.108,-11.197,19.434,907013
-6.106,-11.207,19.443,907014
-6.21,-11.177,19.324,907015
-5.538,-11.282,19.852,907016
-5.79,-11.301,19.688,907017
-5.78,-11.316,19.675,907018
-4.269,-1.561,3.97,909242
-4.27,-1.552,3.973,909243
-4.275,-1.555,3.955,909244
-4.274,-1.569,3.967,909245
2.559,-15.145,3.841,909310
6.302,2.004,7.781,913873
6.3,2.011,7.789,913874
6.301,2.004,7.781,913875
6.301,2.009,7.784,913876
6.3,2.004,7.781,913877
6.298,2.007,7.784,913878
6.309,2.007,7.78,913879
6.309,2.017,7.79,913880
6.311,2.009,7.778,913881
6.309,2.016,7.787,913882
6.308,2.01,7.783,913883
6.312,2.021,7.793,913884
6.313,2.065,7.845,913885
6.319,2.075,7.862,913886
6.311,2.064,7.846,913887
6.32,2.076,7.863,913888
6.314,2.067,7.85,913889
6.321,2.076,7.866,913890
6.313,2.026,7.814,913891
6.307,2.012,7.784,913892
6.308,2.025,7.807,913893
6.309,2.013,7.794,913894
6.313,2.024,7.814,913895
-5.484,5.401,14.553,915320
-5.491,5.405,14.554,915321
11.691,2.828,21.742,915322
11.691,2.827,21.739,915323
-13.195,4.536,13.145,915324
-13.193,4.534,13.145,915325
-5.076,9.273,12.847,915326
-5.078,9.275,12.838,915327
-15.192,5.643,17.143,915328
-15.227,5.692,17.077,915329
4.421,-7.852,24.189,921129
-7.794,10.203,18.804,922146
-7.795,10.206,18.8,922147
-7.796,10.19,18.808,922148
-7.797,10.197,18.799,922149
-7.799,10.184,18.804,922150
-7.791,10.2,18.812,922151
-7.796,10.172,18.813,922152
-7.792,10.184,18.817,922153
-7.791,10.169,18.826,922154
-7.791,10.185,18.82,922155
-7.79,10.162,18.834,922156
-7.791,10.173,18.825,922157
-13.467,2.6,4.378,922158
-13.468,2.6,4.378,922159
-13.465,2.604,4.38,922160
-13.464,2.593,4.363,922161
-13.468,2.594,4.368,922162
-13.467,2.599,4.377,922163
-13.466,2.595,4.368,922164
-13.466,2.598,4.373,922165
-7.871,10.129,18.668,922166
-7.889,10.123,18.625,922167
-7.877,10.116,18.66,922168
-7.884,10.106,18.647,922169
-13.457,2.592,4.355,922170
-13.462,2.594,4.365,922171
-13.461,2.586,4.351,922172
-13.456,2.59,4.351,922173
-13.454,2.584,4.343,922174
-13.463,2.589,4.359,922175
-13.465,2.593,4.366,922176
-13.464,2.589,4.358,922177
-13.456,2.583,4.342,922178
-13.458,2.584,4.347,922179
-7.655,-2.954,-5.703,922180
-13.447,2.573,4.318,922181
-13.448,2.573,4.324,922182
-13.456,2.58,4.343,922183
-13.454,2.582,4.343,922184
-7.603,-2.986,-5.762,922185
-13.455,2.564,4.316,922186
-13.455,2.571,4.328,922187
-13.463,2.581,4.346,922188
-13.465,2.588,4.358,922189
-13.459,2.576,4.339,922190
-13.463,2.583,4.349,922191
-13.462,2.582,4.345,922192
-13.461,2.584,4.349,922193
-11.595,0.884,1.323,922194
-11.624,0.889,1.346,922195
-11.543,0.88,1.24,922196
-11.592,0.889,1.325,922197
-11.593,0.885,1.318,922198
-11.617,0.911,1.356,922199
-11.604,0.898,1.343,922200
-11.602,0.903,1.338,922201
-11.595,0.915,1.348,922202
-11.607,0.883,1.34,922203
-11.621,0.906,1.349,922204
-11.604,0.908,1.342,922205
-11.596,0.928,1.353,922206
-11.52,0.982,1.358,922207
-11.549,0.943,1.355,922208
-11.563,0.909,1.303,922209
-11.596,0.881,1.335,922210
-11.595,0.902,1.338,922211
-11.604,0.895,1.336,922212
-11.573,0.926,1.343,922213
-11.592,0.878,1.324,922214
-11.572,0.903,1.316,922215
-11.492,0.779,1.12,922216
-11.577,0.874,1.323,922217
-11.582,0.88,1.317,922218
-11.542,0.853,1.285,922219
-11.57,0.854,1.304,922220
-11.546,0.791,1.257,922221
-11.594,0.881,1.335,922222
-11.582,0.881,1.323,922223
-13.272,2.439,-3.805,922224
-13.268,2.431,-3.816,922225
-13.27,2.445,-3.799,922226
-13.27,2.432,-3.816,922227
-13.266,2.449,-3.799,922228
-13.271,2.439,-3.805,922230
-13.28,2.487,-3.744,922250
-13.281,2.458,-3.78,922251
-13.28,2.428,-3.822,922252
-13.273,2.452,-3.791,922253
-13.282,2.46,-3.777,922254
-13.273,2.443,-3.802,922255
-13.271,2.45,-3.79,922256
-13.276,2.457,-3.78,922257
-13.394,2.605,-3.705,922258
-13.272,2.433,-3.812,922259
-13.37,2.582,-3.695,922260
-13.284,2.494,-3.666,922261
-13.27,2.438,-3.809,922262
-13.276,2.448,-3.797,922263
-13.27,2.443,-3.799,922264
-13.27,2.452,-3.793,922265
-13.267,2.442,-3.801,922266
-13.268,2.439,-3.806,922267
-13.267,2.44,-3.803,922268
-13.27,2.449,-3.797,922269
-13.268,2.433,-3.815,922270
-13.283,2.472,-3.711,922271
-13.277,2.45,-3.791,922272
-13,2.183,-3.218,922273
-13.275,2.446,-3.796,922274
-13.08,2.268,-3.318,922275
-18.136,0.145,-12.71,925605
-4.875,-5.293,-22.984,925606
-4.462,15.82,10.26,925607
18.025,-10.796,0.958,925608
-18.1,0.052,-12.648,925609
11.155,-5.311,-8.827,925610
10.856,-6.69,-7.376,925611
18.001,-10.756,0.898,925612
20.015,-9.675,-3.488,925613
19.906,-9.645,-3.404,925614
16.148,5.263,19.847,925763
16.15,5.275,19.875,925764
13.881,4.861,20.241,925765
13.906,4.818,20.252,925766
13.866,4.943,20.185,925767
0.353,-21.172,8.754,927668
-17.124,-4.686,17.424,929909
-17.136,-4.748,17.441,929910
22.009,14.807,11.304,929912
22.182,14.777,11.305,929913
-13.098,-5.81,16.081,937160
-13.074,-5.798,16.091,937162
-12.997,-5.818,16.233,937163
-13.102,-5.832,16.093,937166
-13.108,-5.829,16.085,937167
-13.103,-5.806,16.079,937168
-13.107,-5.826,16.076,937170
17.6,4.064,5.219,937171
17.596,4.072,5.242,937172
17.592,3.968,5.1,937174
17.607,4.062,5.194,937175
17.601,4.071,5.222,937176
17.608,4.075,5.219,937178
17.594,4.061,5.228,937179
17.602,4.063,5.211,937180
-4.614,-0.303,4.311,937708
-4.824,-0.356,3.794,937709
-4.829,-0.353,3.809,937710
-4.836,-0.374,3.787,937711
-4.828,-0.376,3.797,937712
-4.821,-0.4,3.783,937713
-23.944,-7.576,-8.767,938891
-25.507,-5.918,-5.075,938892
-24.38,-6.001,-7.259,938893
-24.404,-6.006,-7.168,938894
-23.992,-5.485,-7.02,938895
-23.995,-5.502,-7.02,938896
-22.648,-7.671,-8.482,938897
-22.696,-7.614,-8.502,938898
-25.73,-5.805,-4.69,938899
-25.709,-5.818,-4.724,938900
-24.023,-7.846,-9.099,938901
-22.752,-7.653,-8.556,938902
-23.312,-7.587,-8.839,938903
-23.761,-7.555,-8.789,938904
-23.43,-7.544,-8.709,938906
-7.76,-9.386,-0.99,938907
-21.897,-7.964,-10.045,938908
-8.09,-9.568,-1.567,938909
-21.753,-7.901,-9.995,938910
-2.098,-2.869,2.627,940575
-2.084,-2.843,2.684,940576
1.245,-29.822,4.347,941196
1.272,-29.807,4.415,941198
1.248,-29.807,4.373,941199
1.231,-29.821,4.368,941211
-18.779,-5.056,18.118,942209
-18.543,-5.057,17.858,942210
-18.668,-4.994,17.994,942211
-8.261,7.305,14.785,945006
-8.245,7.312,14.785,945007
27.016,-6.67,-0.999,949331
26.93,-6.656,-0.97,949332
26.886,-6.695,-0.919,949333
26.916,-6.652,-0.973,949334
26.999,-6.685,-0.931,949335
15.183,12.484,3.602,952575
15.165,12.468,3.607,952576
15.168,12.462,3.597,952577
15.653,3.117,8.9,955424
15.646,3.124,8.881,955425
1.885,-6.444,24.731,955512
1.824,-6.503,25.057,955513
19.218,6.307,3.109,956428
19.255,6.286,3.122,956429
18.961,6.389,3.001,956430
19.272,6.268,3.137,956431
19.154,6.302,3.109,956432
19.236,6.309,3.104,956433
-24.408,-6.08,-7.187,957342
-24.259,-6.005,-7.183,957343
-22.618,-7.507,-8.619,957344
-22.631,-7.267,-8.701,957346
-22.678,-7.518,-8.574,957347
-22.672,-7.414,-8.617,957348
-22.273,-5.642,-8.285,957349
-25.507,-5.918,-5.075,957350
-22.422,-6.851,-8.567,957351
-22.527,-7.49,-8.581,957352
-23.944,-7.577,-8.767,957353
-23.618,-7.584,-8.977,957355
-22.323,-5.58,-8.26,957397
-22.314,-5.576,-8.275,957398
-22.725,-7.758,-8.589,957399
-22.711,-7.733,-8.565,957400
-22.273,-5.558,-8.285,957402
-22.295,-5.616,-8.308,957403
-22.316,-5.617,-8.29,957404
-22.283,-5.583,-8.306,957405
-22.386,-5.622,-8.24,957406
-22.279,-5.565,-8.268,957407
-22.265,-5.547,-8.263,957408
-22.344,-5.636,-8.274,957409
-22.34,-5.619,-8.297,957410
-22.343,-5.623,-8.281,957411
-22.348,-5.625,-8.284,957412
-22.331,-5.967,-8.316,957413
-22.131,-6.19,-8.458,957414
-23.978,-7.7,-8.913,957415
-23.934,-7.722,-8.926,957416
-22.224,-5.533,-8.281,957417
-22.247,-5.569,-8.261,957418
-22.218,-5.547,-8.29,957419
-22.226,-5.551,-8.283,957420
-22.234,-5.587,-8.304,957421
-22.222,-5.558,-8.291,957422
-22.216,-5.512,-8.269,957423
-22.518,-6.563,-8.361,957424
-22.204,-5.523,-8.285,957425
-22.216,-5.583,-8.293,957426
-22.255,-5.546,-8.271,957427
-22.223,-5.6,-8.307,957428
-22.631,-7.267,-8.701,957429
-22.678,-7.518,-8.574,957430
-22.672,-7.414,-8.617,957431
-22.273,-5.642,-8.285,957432
-22.211,-5.583,-8.293,957433
-22.215,-5.482,-8.289,957436
-22.215,-5.511,-8.276,957437
-22.217,-5.517,-8.268,957438
-22.211,-5.502,-8.274,957439
-22.206,-5.472,-8.291,957440
-22.211,-5.498,-8.278,957441
-22.215,-5.483,-8.277,957446
18.623,-9.726,-2.738,957705
18.562,-9.643,-2.717,957706
19.487,-10.032,-3.599,968721
16.185,-1.279,-2.778,973661
17.586,-0.936,-1.885,973662
17.752,-1.058,-1.685,973663
17.549,-1.154,-1.73,973664
17.567,-0.954,-1.844,973665
17.442,-0.901,-1.963,973666
17.169,-0.964,-2.108,973667
17.336,-1.187,-1.836,973668
17.882,-1.173,-1.616,973669
17.461,-0.873,-1.973,973670
12.094,-8.015,-7.69,973671
17.287,-1.378,-1.489,973672
12.125,-8.016,-7.686,973673
17.443,-1.161,-1.817,973674
17.397,-0.942,-1.932,973675
17.3,-1.279,-1.733,973676
17.222,-1.048,-2.036,973677
12.113,-8.009,-7.694,973678
17.534,-0.93,-1.902,973679
17.143,-0.96,-2.12,973680
17.23,-1.301,-1.69,973681
0.092,-5.948,7.343,973682
17.906,-1.213,-1.527,973683
17.029,-1.138,-2.138,973684
17.876,-1.172,-1.622,973685
17.227,-0.899,-2.073,973686
0.05,-5.985,7.386,973687
17.245,-0.919,-2.062,973688
17.447,-0.964,-1.934,973689
17.28,-1.374,-1.474,973690
17.24,-0.912,-2.066,973691
17.217,-1,-2.063,973692
16.017,-1.25,-2.938,973693
17.539,-0.897,-1.939,977028
19.64,-2.149,-11.345,977029
19.636,-2.163,-11.326,977030
19.648,-2.142,-11.383,977031
-7.378,-9.335,-0.476,977032
17.522,-0.883,-1.946,977033
17.521,-0.862,-1.958,977034
17.495,-0.864,-1.966,977035
17.471,-0.884,-1.966,977036
17.229,-0.989,-2.039,977037
17.293,-0.908,-2.036,977038
17.578,-0.925,-1.895,977039
17.55,-0.877,-1.91,977040
17.512,-0.899,-1.937,977041
-7.355,-9.329,-0.452,977042
17.661,-0.935,-1.835,977045
17.577,-0.902,-1.909,977046
17.616,-0.914,-1.869,977047
17.512,-0.857,-1.964,977048
17.528,-0.866,-1.955,977049
16.061,-1.194,-2.922,977050
17.572,-0.856,-1.913,977051
17.588,-0.899,-1.91,977052
4.142,-7.796,23.795,977615
1.379,-7.025,25.085,977617
1.379,-7.066,25.029,977618
18.864,-1.287,-1.46,978497
15.751,-1.36,-3.15,978498
15.77,-1.342,-3.132,978499
18.57,-1.261,-1.526,978501
18.636,-1.273,-1.511,978502
-4.629,-1.731,16.201,978784
-5.732,-1.88,16.903,978785
13.96,-12.796,3.051,978969
14.012,-12.827,3.112,978970
16.228,13.879,5.462,979632
15.805,13.58,5.321,979633
-13.709,-7.264,-0.555,979634
0.276,-16.62,4.786,979635
-19.281,7.172,-2.691,979636
9.186,6.199,14.925,979637
-19.234,7.163,-2.98,979638
-19.26,7.178,-2.9,979639
9.193,6.203,14.929,979640
-19.276,7.19,-2.784,979641
-19.258,7.178,-2.86,979642
9.197,6.211,14.934,979643
9.117,6.284,14.974,979645
9.161,6.286,14.931,979646
15.59,7.969,20.249,979647
9.158,6.286,14.928,979648
9.078,6.338,14.917,979649
9.192,6.219,14.932,979650
-19.251,7.179,-2.882,979651
-19.267,7.182,-2.832,979652
9.174,6.257,14.927,979653
-17.811,-7.091,16.136,979654
-6.993,-11.19,14.856,979655
9.219,6.224,14.928,979656
-19.49,-4.153,21.166,979657
9.221,6.217,14.93,979658
15.618,7.882,20.271,979659
9.194,6.221,14.931,979660
9.176,6.264,14.927,979661
9.195,6.198,14.931,979662
9.044,6.358,14.92,979663
-6.018,-0.608,12.819,979867
-6.09,-0.61,12.856,979868
-6.072,-0.625,12.882,979869
-6.107,-0.624,12.901,979870
-7.903,0.055,14.403,979871
-7.908,0.059,14.408,979872
-7.905,0.053,14.402,979873
-7.248,-9.448,-0.408,980644
-7.277,-9.438,-0.433,980645
-7.247,-9.419,-0.407,980646
14.932,-8.336,19.78,981243
20.579,3.351,22.364,981244
-17.999,-8.255,16.59,981245
16.759,14.201,7.209,981246
17.055,14.414,7.605,981247
12.586,6.485,15.006,981248
17.119,5.151,21.894,981249
12.571,6.516,14.982,981250
13.277,7.114,21.247,981251
-19.278,-6.463,20.911,981252
13.469,7.38,21.356,981253
16.145,-8.319,20.35,981255
-5.09,-15.027,6.067,981257
16.412,-8.494,20.56,981258
16.327,-8.522,20.443,981260
1.645,-29.897,3.223,984369
1.673,-29.875,3.224,984371
19.545,-11.635,9.786,984604
-7.886,-9.234,-0.901,984605
-3.223,-18.564,17.702,984606
16.124,-8.327,20.397,984607
16.146,-8.519,20.284,984608
16.352,-8.466,20.545,984610
16.357,-8.441,20.531,984611
16.397,-8.476,20.601,984612
7.185,1.601,28.641,984613
16.087,-8.399,20.39,984614
15.728,-8.557,20.083,984615
8.204,-7.511,15.694,984616
8.202,-7.487,15.621,984617
7.23,1.558,28.692,984618
16.003,-8.385,20.238,984619
15.852,-8.583,20.1,984620
19.622,-11.534,9.782,984621
16.302,17.139,13.095,985093
16.28,17.239,13.105,985094
16.269,17.254,13.118,985095
16.308,17.127,13.093,985096
16.285,17.15,13.105,985097
16.26,17.164,13.123,985098
16.326,17.111,13.081,985099
16.328,17.107,13.08,985100
16.335,17.103,13.078,985101
16.342,17.099,13.078,985102
16.321,17.115,13.083,985103
16.325,17.111,13.083,985104
28.851,0.356,-2.286,985138
28.905,0.318,-2.33,985139
29.727,0.275,-3.496,986109
29.521,0.372,-3.426,986110
-4.194,-1.55,3.971,986133
-4.175,-1.558,3.977,986134
-4.222,-1.559,3.974,986135
-4.183,-1.546,3.966,986136
-4.264,-1.557,3.98,986137
-4.279,-1.56,3.978,986138
3.115,-19.625,5.445,988217
15.429,13.265,5.67,988513
28.001,0.619,-3.47,988637
27.988,0.604,-3.458,988638
6.116,7.727,28.733,990765
3.658,8.623,27.943,990766
6.08,7.734,28.494,990767
4.208,8.886,27.851,990769
4.178,8.843,27.937,990770
4.978,7.647,28.307,990771
5.046,7.71,28.233,990772
-0.377,-12.432,5.457,990773
16.064,1.79,23.307,990774
16.049,1.82,23.306,990775
2.574,-15.174,3.828,992931
1.357,-21.079,4.391,992932
2.623,-21.43,0.937,992933
2.739,-21.431,0.532,992934
9.948,-0.702,0.823,995549
9.917,-0.654,0.833,995550
7.133,26.432,-1.367,995551
-11.058,-10.558,12.96,996197
-10.905,-10.469,13.087,996198
-10.92,-10.467,13.083,996199
-10.927,-10.489,13.072,996200
-10.866,-10.445,13.122,996201
-10.859,-10.453,13.14,996202
4.076,29.543,3.34,998875
-22.583,14.229,-0.042,999527
-22.56,14.226,-0.018,999528
-22.442,14.41,0.317,999529
-22.439,14.407,0.319,999530
-22.439,14.329,0.225,999531
-22.591,14.848,0.605,999532
-21.011,14.913,4.896,999533
-22.45,14.381,0.265,999534
-22.086,17.041,4.372,999535
-22.585,14.801,0.548,999536
-22.599,14.869,0.643,999537
-0.822,29.69,-0.236,999559
-0.852,29.605,-0.333,999560
-0.817,29.693,-0.229,999561
-0.861,29.594,-0.353,999562
-0.838,29.653,-0.282,999563
-0.854,29.601,-0.338,999564
-0.832,29.662,-0.27,999565
-0.838,29.659,-0.279,999566
-0.842,29.636,-0.298,999567
-0.872,29.512,-0.429,999568
-0.816,29.686,-0.235,999569
-0.828,29.667,-0.262,999570
-0.872,29.527,-0.419,999571
-0.863,29.56,-0.382,999572
-0.81,29.687,-0.232,999573
-0.84,29.643,-0.292,999574
-0.822,29.665,-0.262,999575
-0.832,29.65,-0.279,999576
-0.833,29.659,-0.273,999577
-0.836,29.638,-0.288,999578
-0.844,29.59,-0.337,999579
-0.848,29.637,-0.307,999580
-0.811,29.681,-0.239,999581
-0.824,29.667,-0.258,999582
-0.875,29.537,-0.416,999583
-0.846,29.627,-0.311,999584
-0.849,29.628,-0.312,999585
-0.792,29.696,-0.211,999586
-0.847,29.636,-0.305,999587
-0.847,29.613,-0.322,999588
-0.807,29.683,-0.234,999589
-0.827,29.652,-0.273,999591
29.45,0.406,-3.982,1001332
-24.411,-8.847,-10.483,1001393
-23.979,-9.351,-10.04,1001394
17.915,-10.937,1.328,1002540
17.857,-10.966,1.43,1002541
17.861,-10.967,1.43,1002542
17.916,-10.941,1.338,1002543
17.888,-10.94,1.343,1002544
17.899,-10.939,1.33,1002545
17.95,-10.91,1.233,1002546
17.869,-10.953,1.404,1002547
17.841,-10.985,1.481,1002549
17.811,-10.989,1.525,1002550
17.873,-10.956,1.395,1002551
17.85,-10.972,1.449,1002552
17.922,-10.933,1.307,1002553
22.992,-6.506,1.022,1003587
22.989,-6.508,1.024,1003588
22.992,-6.505,1.021,1003589
-16.135,8.862,13.604,1006724
-16.173,8.844,13.767,1006725
-15.793,8.565,13.576,1006727
3.42,8.146,26.666,1009635
3.415,8.125,26.642,1009636
3.424,8.133,26.673,1009637
3.431,8.053,26.558,1009638
16.444,-22.237,4.633,1010938
-22.52,-5.568,2.894,1010940
-22.203,-6.64,2.987,1010942
11.408,-4.473,1.579,1010944
7.004,0.183,4.281,1010946
8.501,4.634,1.912,1010948
7.891,2.378,3.38,1010950
4.992,-0.18,4.453,1010952
15.471,-4.872,2.551,1010956
11.604,6.675,-2.45,1010958
5.968,-0.035,4.174,1010960
16.5,-22.26,4.654,1010964
7.433,-0.292,5.001,1010966
20.751,-20.695,0.37,1010968
16.416,-22.267,4.664,1010970
16.501,-22.261,4.656,1010972
-23.901,-6.143,4.387,1010974
-2.048,-6.802,2.523,1010976
-5.918,-14.808,-0.091,1013480
-6.747,-11.007,0.282,1013481
12.756,5.909,4.927,1019735
12.752,5.906,4.918,1019736
12.751,5.881,4.869,1019737
12.754,5.854,4.81,1019738
12.775,5.89,4.909,1019739
12.765,5.875,4.861,1019740
12.748,5.841,4.799,1019741
12.75,5.873,4.851,1019742
12.74,5.831,4.786,1019743
7.085,2.7,6.927,1020212
7.159,2.506,6.567,1020213
7.082,2.686,6.922,1020214
2.146,5.655,13.585,1020215
2.142,5.654,13.598,1020216
20.384,-0.519,21.8,1023059
-16.203,8.711,12.739,1023060
-16.291,8.557,12.308,1023061
-16.256,8.578,12.451,1023062
