x,y,z,gene
-18.707,-8.387,-28.366,ABCG5
-18.675,-8.589,-28.328,ABCG8
-4.801,-17.887,0.956,ABHD10
-7.062,-23.102,4.376,ABHD11
-23.233,0.341,11.359,ABHD12
12.651,14.901,4.565,ABHD12B
-18.563,-6.781,-0.345,ABHD13
-3.112,-17.002,-0.152,ABHD14A
-12.68,-11.157,-14.374,ABHD14B
-10.377,-6.161,-20.673,ABHD15
-18.803,-4.618,12.155,ABHD16A
6.368,24.957,-21.233,ABHD16B
-23.022,-13.334,0.959,ABHD17A
-24.651,-0.436,5.978,ABHD17B
-17.192,-9.754,1.279,ABHD17C
4.076,-1.803,22.475,ABHD18
-10.161,-7.673,34.634,ABHD2
-13.71,-7.225,-17.832,ABHD3
-18.244,-17.845,4.784,ABHD4
-4.949,-8.87,16.83,ABHD5
-8.819,-0.942,4.528,ABHD6
-17.485,3.345,5.072,ABHD8
-19.864,-11.918,24.189,ABI1
-18.795,1.553,22.991,ABI2
18.249,-19.432,-11.227,ABI3
-13.087,9.531,-15.523,ABI3BP
-15.197,-8.744,26.805,ABL1
-23.831,-9.048,13.115,ABL2
-27.711,-5.655,11.151,ABLIM1
-12.354,20.958,8.546,ABLIM2
-7.053,12.258,1.276,ABLIM3
10.318,19.998,-29.032,ABO
-25.122,-3.471,22.239,ABR
-21.977,23.826,-15.753,ABRA
8.259,-23.458,2.087,ABRACL
-3.177,-20.447,-2.78,ABT1
-10.777,-12.744,-2.001,ABTB1
-5.834,-5.978,-8.965,ABTB2
-16.889,-21.052,17.122,ACAA2
-17.153,-11.07,30.104,ACACA
-12.068,-8.095,-18.697,ACACB
4.126,-8.167,6.567,ACAD10
-16.913,-18.341,-1.326,ACAD11
-15.802,-18.402,-1.774,ACAD8
-9.715,-6.97,32.004,ACAD9
-16.675,-20.967,17.403,ACADL
-16.308,-20.724,17.505,ACADM
-12.484,-13.766,-10.926,ACADS
-12.309,-6.002,25.514,ACADSB
-16.051,-20.4,17.451,ACADVL
-1.476,20.352,-9.016,ACAN
17.976,-23.425,-10.923,ACAP1
-24.767,-4.318,17.122,ACAP2
-17.555,4.001,4.581,ACAP3
-12.814,-21.406,30.222,ACAT1
-30.953,-10.805,20.921,ACAT2
-13.549,-7.082,22.002,ACBD3
-11.059,-8.493,-12.515,ACBD4
-22.5,-4.478,14.531,ACBD5
-10.313,-21.975,12.674,ACBD6
8.86,24.102,-25.268,ACBD7
5.503,-3.227,4.589,ACCS
6.421,24.504,-37.736,ACCSL
-6.827,-22.972,5.676,ACD
-12.374,6.774,-19.212,ACE
-0.25,1.211,-32.882,ACE2
14.231,7.507,7.613,ACER1
6.536,-5.704,17.176,ACER2
-2.638,-6.2,28.266,ACER3
-7.467,23.085,9.446,ACHE
-16.611,-13.144,31.185,ACIN1
-6.306,25.398,3.901,ACKR1
8.628,-0.012,-24.745,ACKR2
-17.193,3.647,-13.418,ACKR3
11.62,12.65,3.445,ACKR4
-13.823,-17.942,34.413,ACLY
11.948,6.463,7.061,ACMSD
-23.382,-13.404,5.68,ACO1
-9.028,-19.606,37.765,ACO2
17.688,-15.007,-14.44,ACOD1
-10.335,-8.471,-17.288,ACOT1
2.417,-4.32,3.214,ACOT11
-16.582,-11.421,-27.444,ACOT12
-3.651,-21.41,12.658,ACOT13
2.131,1.568,27.392,ACOT2
-13.992,-10.245,-27.536,ACOT4
-0.793,6.166,-11.824,ACOT6
-21.319,3.417,18.989,ACOT7
-2.342,-11.884,-6.407,ACOT8
-6.605,-11.655,10.995,ACOT9
-25.966,-6.354,21.091,ACOX1
-17.045,-12.288,-24.352,ACOX2
-3.843,-8.064,11.693,ACOX3
12.671,10.259,-21.401,ACOXL
-10.756,-21.542,28.389,ACP1
-19.153,-3.888,14.42,ACP2
-5.308,-10.152,-18.965,ACP5
-0.686,-7.537,22.193,ACP6
11.111,25.804,-18.26,ACP7
11.684,3.042,13.063,ACPP
27.776,-0.102,9.372,ACPT
-0.1,29.052,-19.478,ACR
-1.747,1.054,-9.512,ACRBP
12.937,9.969,9.665,ACRV1
-8.008,24.976,-3.599,ACSBG1
15.222,16.496,5.713,ACSBG2
-11.46,-7.318,-14.442,ACSF2
-10.515,-8.687,-13.113,ACSF3
-18.507,-18.765,0.651,ACSL1
-23.327,1.581,15.823,ACSL3
-22.477,-9.128,18.125,ACSL4
-25.075,-19.014,6.448,ACSL5
-12.02,19.931,14.868,ACSL6
-17.898,-12.096,-27.568,ACSM1
-15.994,-9.016,-25.127,ACSM3
13.681,8.921,-33.471,ACSM4
-16.593,-11.603,-27.476,ACSM5
-10.28,-11.981,-5.837,ACSS1
-17.248,-18.283,-0.608,ACSS2
11.28,0.034,17.698,ACSS3
-22.771,21.549,-13.078,ACTA1
-19.491,5.245,-13.039,ACTA2
0.581,-17.113,41.675,ACTB
32.827,13.551,-9.123,ACTBL2
-23.333,22.306,-15.31,ACTC1
0.421,-17.27,41.545,ACTG1
-11.272,11.314,-16.345,ACTG2
6.003,23.342,-15.736,ACTL10
-13.669,-28.834,9.388,ACTL6A
-8.167,20.385,8.652,ACTL6B
-26.851,-12.416,17.148,ACTN1
4.788,12.809,9.752,ACTN2
-21.207,23.49,-14.099,ACTN3
-17.465,-17.534,32.291,ACTN4
-4.764,-20.276,30.125,ACTR10
-22.005,-16.517,26.629,ACTR1A
-22.324,-16.345,26.352,ACTR1B
-5.576,-15.653,37.772,ACTR2
-7.97,-18.785,35.848,ACTR3
-11.955,21.884,6.56,ACTR3B
0.293,-8.642,-4.59,ACTR5
-3.655,-7.554,0.393,ACTR6
-11.093,-16.306,2.501,ACTR8
6.619,26.961,-18.088,ACTRT3
-12.375,3.518,-3.549,ACVR1
-19.172,-0.64,3.744,ACVR1B
-3.072,24.897,4.043,ACVR1C
-18.069,0.326,4.578,ACVR2A
-5.794,8.715,-9.103,ACVR2B
-14.679,3.31,-21.688,ACVRL1
-10.605,-13.377,-10.059,ACY1
-11.459,-8.653,-20.873,ACY3
-0.813,-20.121,6.373,ACYP1
-10.954,14.106,6.985,ACYP2
0.566,-3.444,-10.996,ADA
1.178,29.892,-24.176,ADAD1
2.304,25.985,-27.214,ADAD2
-2.382,-9.185,-0.248,ADAL
-15.478,-12.163,29.271,ADAM10
-12.028,17.215,9.548,ADAM11
3.384,-0.472,16.996,ADAM12
-25.789,-2.599,7.914,ADAM15
-12.359,-12.191,24.259,ADAM17
2.153,29.72,-22.139,ADAM18
-2.87,-4.349,9.745,ADAM19
-0.009,6.17,-13.588,ADAM1A
0.835,29.28,-22.491,ADAM1B
1.199,29.985,-23.821,ADAM2
5.964,23.396,-15.732,ADAM21
-0.714,5.295,30.502,ADAM22
-14.798,14.063,11.376,ADAM23
13.47,7.597,11.995,ADAM28
3.086,29.683,-22.99,ADAM30
-0.974,27.888,-22.089,ADAM32
10.132,14.916,1.208,ADAM33
-0.541,29.066,-21.995,ADAM5
9.952,25.079,-29.6,ADAM7
16.045,-15.458,-11.117,ADAM8
-26.004,-13.28,10.203,ADAM9
7.441,1.407,-29.568,ADAMDEC1
-18.925,4.947,-13.763,ADAMTS1
-9.645,-4.16,-6.895,ADAMTS10
-10.197,12.146,-15.698,ADAMTS12
7.908,0.274,-28.455,ADAMTS13
-8.762,8.172,-13.473,ADAMTS14
-9.44,8.983,-17.681,ADAMTS15
-0.975,24.587,-5.108,ADAMTS16
8.421,13.56,8.384,ADAMTS17
0.311,24.479,-5.989,ADAMTS18
5.374,21.887,-11.362,ADAMTS19
3.266,-0.489,16.065,ADAMTS2
-2.152,24.082,-4.2,ADAMTS20
-4.413,17.793,-5.901,ADAMTS3
-0.995,23.381,17.475,ADAMTS4
-14.02,6.832,-12.346,ADAMTS5
0.929,3.349,-11.83,ADAMTS6
-8.556,7.635,-14.652,ADAMTS7
-3.885,14.796,-17.668,ADAMTS8
0.997,4.349,7.153,ADAMTS9
-8.343,11.995,-17.414,ADAMTSL1
-11.205,6.811,-21.173,ADAMTSL2
-10.153,12.167,-15.803,ADAMTSL3
5.959,-0.251,13.177,ADAMTSL4
-11.442,9.89,-16.69,ADAMTSL5
-14.335,8.989,5.403,ADAP1
18.331,-14.002,-11.756,ADAP2
-27.29,-7.152,15.13,ADAR
-16.663,6.824,6.588,ADARB1
6.886,-10.102,12.829,ADARB2
5.258,-3.052,8.41,ADAT1
1.209,-4.236,-9.699,ADAT2
0.414,-5.756,-10.018,ADAT3
-3.43,-9.801,-3.19,ADCK1
-6.059,-4.103,-4.542,ADCK2
-16.691,-18.537,-2.364,ADCK3
-1.58,-8.593,2.762,ADCK4
-5.994,-15.616,-2.045,ADCK5
-14.391,21.096,11.469,ADCY1
8.796,13.696,4.202,ADCY10
-11.027,23.837,7.479,ADCY2
-11.221,7.968,-2.443,ADCY3
-12.759,4.561,-22.163,ADCY4
-12.356,20.898,8.438,ADCY5
-21.919,-3.123,-1.919,ADCY6
16.92,-23.041,-6.76,ADCY7
-3.348,26.35,0.442,ADCY8
-8.272,10.873,2.023,ADCY9
-3.008,28.238,-1.076,ADCYAP1
-10.225,20.415,13.697,ADCYAP1R1
-15.708,-11.311,36.86,ADD1
-14.235,21.368,13.79,ADD2
-24.559,-4.506,17.151,ADD3
-3.038,26.297,-18.095,ADGB
-7.916,25.01,7.694,ADGRA1
-16.037,5.656,-12.99,ADGRA2
-19.36,0.505,-8.857,ADGRA3
-11.818,24.268,7.83,ADGRB1
-11.898,24.251,7.79,ADGRB2
-14.239,17.047,17.36,ADGRB3
-9.851,9.174,-17.557,ADGRD1
18.494,-15.372,-10.679,ADGRE1
10.239,-22.59,-5.104,ADGRE5
7.715,0.394,-28.988,ADGRF1
9.321,23.691,-15.74,ADGRF2
9.503,19.678,-28.334,ADGRF3
1.339,8.516,-36.621,ADGRF4
-15.349,2.951,-20.849,ADGRF5
-18.119,-14.231,1.8,ADGRG1
-4.314,17.055,-3.298,ADGRG2
16.445,-5.994,-20.769,ADGRG3
14.123,17.742,2.798,ADGRG4
22.73,-14.846,-22.196,ADGRG5
-8.696,7.926,-16.745,ADGRG6
-1.876,-2.978,-34.562,ADGRG7
-21.581,2.508,17.8,ADGRL1
-25.635,0.915,-0.144,ADGRL2
-14.166,15.834,17.276,ADGRL3
12.576,-5.838,-19.861,ADGRL4
9.055,-0.112,17.762,ADGRV1
-16.309,-13.365,-29.326,ADH4
-9.522,-21.964,30.546,ADH5
-11.843,-11.387,-28.566,ADH7
-14.308,-8.64,-20.303,ADHFE1
-12.997,-22.376,16.78,ADI1
-0.992,13.943,-23.333,ADIG
-2.012,13.432,-23.298,ADIPOQ
-17.555,-17.269,31.439,ADIPOR1
-24.039,-17.008,16.977,ADIPOR2
-14.909,-21.58,17.08,ADK
-11.104,10.564,-14.949,ADM
8.511,24.447,-31.532,ADM2
-2.903,-5.781,6.263,ADNP
-18.046,-9.497,-2.403,ADNP2
-5.743,-3.908,31.008,ADO
-13.198,18.345,9.13,ADORA1
4.312,6.451,-12.09,ADORA2A
1.391,9.87,-12.476,ADORA2B
13.196,3.473,14.534,ADORA3
-8.115,-21.262,-4.595,ADPGK
-16.719,-23.235,14.319,ADPRH
-22.43,23.443,-15.559,ADPRHL1
-7.166,-21.389,-2.963,ADPRHL2
-2.63,-10.677,0.984,ADPRM
-1.942,13.007,7.339,ADRA1A
-13.709,-11.337,-24.669,ADRA1B
-0.871,24.323,-5.043,ADRA1D
-8.845,28.269,-8.945,ADRA2A
13.252,12.923,19.124,ADRA2B
-1.398,26.857,-0.984,ADRA2C
-0.426,24.133,0.977,ADRB1
13.286,-13.354,-9.528,ADRB2
12.36,12.338,2.066,ADRB3
-16.798,-23.104,24.173,ADRM1
-3.921,-10.75,25.832,ADSL
-17.695,-13.728,26.566,ADSS
-5.951,-5.043,-7.47,ADSSL1
-16.034,-13.369,-22.245,ADTRP
-18.512,7.172,-13.359,AEBP1
-22.16,-10.567,17.517,AEBP2
-14.054,-25.056,8.186,AEN
-24.375,-16.625,23.532,AES
0.941,-1.272,18.128,AFAP1
-14.439,3.899,-20.12,AFAP1L1
-9.472,10.814,-12.841,AFAP1L2
-25.463,-16.529,9.861,AFF1
-0.828,13.296,6.208,AFF2
-11.758,0.114,-2.281,AFF3
-13.673,-11.602,36.882,AFF4
-21.158,-22.358,11.749,AFG3L2
-18.887,-12.295,-26.429,AFM
-10.974,-9.162,-19.709,AFMID
7.692,-0.528,-27.687,AFP
-22.307,-9.134,17.591,AFTPH
3.463,-18.688,1.518,AGA
-17.368,-0.176,20.429,AGAP1
-13.853,16.959,11.899,AGAP2
-26.065,-5.504,4.929,AGAP3
13.833,15.322,6.909,AGBL1
11.119,8.68,9.191,AGBL2
4.639,0.255,6.311,AGBL3
6.967,18.696,4.202,AGBL4
-4.575,-1.95,-8.993,AGBL5
1.538,6.236,-19.349,AGER
-26.787,-10.332,15.249,AGFG1
-10.329,-8.981,0.423,AGFG2
-20.538,-16.566,9.565,AGGF1
-0.742,-8.443,17.065,AGK
-12.51,-6.124,23.232,AGL
-18.351,-9.367,-27.983,AGMAT
-14.873,-14.621,-19.34,AGMO
-26.888,-11.088,4.175,AGO1
-18.677,-12.949,28.197,AGO2
-17.117,0.423,15.954,AGO3
4.792,-0.691,8.304,AGO4
-22.132,-6.027,17.943,AGPAT1
-12.413,-13.812,-11.062,AGPAT2
-25.812,-5.402,19.147,AGPAT3
-16.265,3.717,13.486,AGPAT4
-10.9,-20.824,15.18,AGPAT5
-23.298,-11.383,16.653,AGPS
-2.596,-2.104,-33.971,AGR2
9.923,25.131,-31.729,AGR3
-25.917,0.905,0.034,AGRN
7.459,10.364,-19.324,AGRP
-14.615,-10.212,-22.469,AGT
-19.053,1.955,18.041,AGTPBP1
9.52,18.64,-20.858,AGTR2
3.008,-9.415,15.216,AGTRAP
-18.167,-13.101,-28.105,AGXT
-17.866,-12.11,-27.299,AGXT2
-18.592,-12.059,26.756,AHCTF1
-16.542,-27.209,9.241,AHCY
-22.607,-9.97,27.019,AHCYL1
-21.066,-0.431,17.665,AHCYL2
-5.055,-2.234,31.611,AHDC1
-15.506,19.772,18.765,AHI1
-26.833,-19.885,13.901,AHNAK
-15.634,8.965,-14.363,AHNAK2
-13.238,-6.949,-12.408,AHR
12.916,3.484,14.606,AHRR
-15.668,-22.756,27.129,AHSA1
-8.721,-21.375,17.649,AHSA2
-20.891,-12.661,-25.179,AHSG
18.924,-11.774,-23.977,AICDA
-13.991,-6.233,20.901,AIDA
18.27,-14.02,-12.091,AIF1
-10.572,8.358,-11.514,AIF1L
-14.91,-22.358,7.043,AIFM1
-10.315,-2.444,-14.384,AIFM2
-7.627,24.809,1.713,AIFM3
-2.13,-4.578,22.151,AIG1
11.53,-18.454,-7.922,AIM1
9.844,1.033,15.888,AIM1L
16.603,-16.141,-5.532,AIM2
-7.996,-24.331,21.234,AIMP1
-5.205,-25.332,5.863,AIMP2
-6.846,-23.344,13.448,AIP
11.963,16.065,4.28,AIPL1
12.177,12.479,2.173,AIRE
-7.567,25.74,7.626,AJAP1
-18.441,0.943,-9.499,AJUBA
-17.294,7.605,8.847,AK1
-16.21,-25.609,21.648,AK2
-16.207,-20.268,17.44,AK3
-10.007,-12.339,-14.289,AK4
-10.679,24.417,6.998,AK5
-11.338,-22.547,28.027,AK6
-4.819,28.029,-20.895,AK7
-3.013,23.964,-19,AK8
13.237,9.892,10.056,AK9
-0.524,28.588,-2.806,AKAIN1
-23.397,-9.666,-1.79,AKAP1
-4.973,-2.433,25.259,AKAP10
-22.794,-5.743,25.777,AKAP11
-25.269,1.907,-4.127,AKAP12
-11.904,-11.372,31.218,AKAP13
0.223,29.818,-17.051,AKAP14
-25.874,1.784,-3.358,AKAP2
0.853,29.363,-22.678,AKAP3
-14.172,16.798,18.06,AKAP5
-15.25,19.036,12.943,AKAP6
-8.097,1.037,4.817,AKAP7
-17.509,-13.112,26.222,AKAP8
-17.366,-5.664,12.175,AKAP8L
-10.599,-9.672,36.206,AKAP9
-1.103,-21.141,-4.239,AKIP1
-20.456,-6.491,15.111,AKIRIN1
-24.151,-6.157,6.883,AKIRIN2
16.503,-23.622,-7.115,AKNA
15.907,13.506,8.218,AKNAD1
-2.226,-18.011,40.01,AKR1A1
2.089,-12.525,-4.687,AKR1B10
-15.485,-15.024,-20.611,AKR1D1
-26.019,-12.677,13.552,AKT1
-11.511,-14.261,-8.713,AKT1S1
-24.322,-15.92,16.368,AKT2
-19.621,-0.436,4.417,AKT3
-8.478,-8.009,26.183,AKTIP
-10.671,-25.695,6.692,ALAD
-18.965,-15.323,8.585,ALAS1
-12.646,-7.453,-22.912,ALAS2
-21.129,-12.668,-25.204,ALB
-20.897,0.209,16.526,ALCAM
-3.227,-10.791,19.516,ALDH16A1
-14.222,-25.437,6.529,ALDH18A1
-14.5,-8.166,-19.604,ALDH1A1
-6.65,12.82,-17.491,ALDH1A2
13.758,2.784,14.388,ALDH1A3
-10.322,-9.531,-17.648,ALDH1B1
-14.042,-9.232,-18.639,ALDH1L1
2.308,-1.223,8.429,ALDH1L2
-23.306,-18.096,16.847,ALDH2
1.623,8.039,-35.011,ALDH3A1
-23.148,-12.836,5.407,ALDH3A2
14.933,-14.787,-11.225,ALDH3B1
0.828,8.211,-36.973,ALDH3B2
-11.222,-12.384,-13.633,ALDH4A1
-20.043,6.801,5.404,ALDH5A1
-18.639,-17.075,-5.8,ALDH6A1
-25.925,-4.819,-2.521,ALDH7A1
-15.561,-14.875,-20.749,ALDH8A1
-17.313,-21.166,16.009,ALDH9A1
-3.553,-19.05,40.304,ALDOA
-20.342,-8.299,-27.906,ALDOB
-13.374,9.471,15.7,ALDOC
-7.682,-11.353,-3.046,ALG1
-17.113,-7.098,-3.82,ALG10B
-5.364,-3.33,30.8,ALG11
-2.68,-5.802,-7.993,ALG12
2.172,-7.689,22.036,ALG13
-0.858,-12.113,4.97,ALG14
-19.269,0.314,13.089,ALG2
-3.686,-18.428,-0.766,ALG3
-7.622,-21.301,9.708,ALG5
6.211,-6.212,15.306,ALG6
-2.089,-13.881,-6.302,ALG8
-3.678,-9.398,3.487,ALG9
-0.593,27.169,-3.892,ALK
-0.485,-10.102,16.453,ALKBH1
2.199,-2.713,-11.699,ALKBH2
-6.193,-17.484,-0.807,ALKBH3
-0.893,-10.348,-8.691,ALKBH4
-10.797,-12.458,32.922,ALKBH5
-1.61,-22.876,10.996,ALKBH6
-2.759,-17.404,0.061,ALKBH7
1.423,-4.431,18.391,ALKBH8
3.027,27.42,-28.185,ALLC
2.8,-3.703,19.601,ALMS1
12.66,3.737,15.722,ALOX12
0.384,9.091,-35.191,ALOX12B
12.59,9.137,-21.042,ALOX15
17.416,-9.529,-15.17,ALOX5
18.272,-18.804,-8.769,ALOX5AP
8.839,16.902,5.439,ALOXE3
-1.002,-1.832,-35.663,ALPI
13.91,-12.613,-9.725,ALPK1
8.463,-3.131,18.354,ALPK2
-23.302,22.144,-13.788,ALPK3
-8.181,-11.511,-17.247,ALPL
3.028,22.039,-37.054,ALPPL2
-17.392,-9.5,0.259,ALS2
-12.791,-7.321,-12.413,ALS2CL
1.158,29.79,-24.289,ALS2CR11
-0.921,24.629,-21.951,ALS2CR12
1.425,27.371,-23.628,ALX1
14.432,24.281,-18.023,ALX3
8.828,13.611,8.301,ALX4
-12.222,-27.777,12.702,ALYREF
-11.734,-9.37,-17.705,AMACR
-20.967,-12.275,-24.772,AMBP
-22.56,-9.135,1.141,AMBRA1
-14.998,-17.81,29.662,AMD1
-17.537,-13.027,-25.734,AMDHD1
3.308,-4.887,13.219,AMDHD2
-1.761,-5.884,11.221,AMER1
-5.314,23.34,5.715,AMER2
-4.318,26.585,1.745,AMER3
-23.329,-8.881,27.094,AMFR
9.308,10.615,-17.931,AMH
-2.579,17.457,-28.912,AMHR2
-12.973,13.589,6.181,AMIGO1
-2.699,4.071,-7.042,AMIGO2
-0.758,5.235,-12.267,AMIGO3
0.31,-5.687,6.277,AMMECR1
-23.31,-12.395,11.376,AMMECR1L
-1.383,-0.239,-31.867,AMN
-2.308,-4.788,25.962,AMN1
-8.556,-4.362,-9.052,AMOT
-25.711,1.147,-2.547,AMOTL1
-25.301,0.733,-2.696,AMOTL2
-20.369,24.684,-16.016,AMPD1
-22.809,-15.425,1.534,AMPD2
-6.531,-8.421,-8.892,AMPD3
-15.252,22.312,14.375,AMPH
2.487,-8.113,17.113,AMT
5.112,19.754,-18.05,AMY2B
13.643,-11.869,-9.445,AMZ1
-19.108,-6.662,11.281,AMZ2
-16.784,-13.388,30.891,ANAPC1
4.793,-7.187,15.399,ANAPC10
-2.827,-11.827,27.81,ANAPC11
-4.838,-24.427,15.234,ANAPC13
-5.197,-24.227,-0.878,ANAPC15
-2.864,-11.231,28.737,ANAPC16
-22.186,-16.855,21.098,ANAPC2
-17.095,-7.51,19.422,ANAPC4
-7.914,-17.808,37.066,ANAPC5
-12.903,-22.828,12.819,ANAPC7
-12.23,-7.315,-20.867,ANG
-1.92,-1.55,-9.415,ANGEL1
-15.054,-12.595,21.775,ANGEL2
13.468,-5.448,-20.084,ANGPT1
5.924,6.447,4.614,ANGPT2
-1.714,14.499,-18.496,ANGPT4
1.145,11.284,-16.137,ANGPTL1
-18.511,5.632,-13.382,ANGPTL2
-17.458,-13.015,-24.502,ANGPTL3
-11.927,-8.636,-15.945,ANGPTL4
0.303,3.424,-8.886,ANGPTL6
9.656,10.111,4.469,ANGPTL7
-13.96,-10.465,-27.811,ANGPTL8
-11.052,10.739,4.351,ANK1
-19.207,3.621,24.128,ANK2
-19.184,3.6,24.068,ANK3
11.143,24.917,-15.699,ANKDD1A
0.122,6.19,-10.306,ANKDD1B
8.603,13.812,3.876,ANKEF1
-17.085,-11.845,27.004,ANKFY1
-16.852,-10.873,28.747,ANKHD1
-17.77,-2.403,24.685,ANKIB1
11.367,25.779,-15.861,ANKK1
8.745,-2.586,4.792,ANKLE1
-16.373,-9.024,19.945,ANKLE2
1.538,24.957,-20.639,ANKMY1
-5.518,-4.632,11.534,ANKMY2
-7.742,-9.068,2.165,ANKRA2
-22.404,21.69,-15.104,ANKRD1
-18.55,-25.139,15.313,ANKRD10
-14.422,-12.203,35.722,ANKRD11
-10.514,-5.239,31.047,ANKRD12
-24.172,-17.12,16.944,ANKRD13A
-14.829,8.061,1.982,ANKRD13B
-13.904,-7.042,23.375,ANKRD13C
-9.899,15.274,1.584,ANKRD13D
-12.3,-7.421,-2.617,ANKRD16
-9.33,-12.976,37.504,ANKRD17
-19.674,24.443,-16.736,ANKRD2
2.302,10.04,-35.287,ANKRD22
8.472,6.034,9.87,ANKRD23
3.158,-2.254,9.777,ANKRD24
-2.446,-4.104,5.59,ANKRD26
-19.489,-12.107,-0.499,ANKRD27
-23.903,-8.023,7.995,ANKRD28
-0.149,12.406,5.112,ANKRD29
1.335,27.239,-26.399,ANKRD31
-8.295,10.804,2.086,ANKRD33B
-8.084,25.821,4.75,ANKRD34A
-4.091,27.738,-0.116,ANKRD34B
8.63,18.752,4.545,ANKRD34C
-3.058,8.734,-17.299,ANKRD35
1.027,29.968,-24.412,ANKRD36
1.033,0.431,-8.725,ANKRD37
5.263,-4.233,18.547,ANKRD39
-24.838,-4.418,17.241,ANKRD40
-0.913,9.987,-7.901,ANKRD42
-4.991,-2.519,32.098,ANKRD44
-7.561,24.088,6.227,ANKRD45
-20.904,1.907,19.518,ANKRD46
-2.067,-20.41,-2.977,ANKRD49
-19.941,-2.271,0.628,ANKRD50
-22.578,-8.434,0.391,ANKRD52
2.067,23.616,-18.743,ANKRD53
3.161,-8.088,12.592,ANKRD54
3.158,19.691,-5.463,ANKRD55
-6.007,12.475,8.393,ANKRD6
4.216,9.288,-17.051,ANKRD61
-1.1,26.749,0.125,ANKRD63
10.536,27.972,-15.768,ANKRD66
-0.194,-3.966,-8.916,ANKRD9
-11.721,20.772,18.685,ANKS1B
-10.674,-12.427,-1.813,ANKS3
-15.211,-14.943,-20.082,ANKS4B
-4.713,16.439,-6.007,ANKS6
13.379,9.546,11.497,ANKUB1
-10.778,-12.435,-1.884,ANKZF1
-3.113,-28.271,-7.717,ANLN
-12.247,10.695,-18.627,ANO1
-9.755,-9.974,-1.354,ANO10
4.387,27.328,-16.96,ANO2
-10.829,25.048,6.886,ANO3
-2.878,20.245,18.125,ANO4
-19.23,24.451,-15.834,ANO5
-10.636,-4.139,27.581,ANO6
0.42,1.24,-31.887,ANO7
-10.426,7.948,-2.76,ANO8
-4.238,-2.419,-32.816,ANO9
-23.169,-11.623,25.597,ANP32A
-14.859,-23.428,29.409,ANP32B
-18.547,-21.417,25.699,ANP32E
-15.363,-11.523,-15.399,ANPEP
-1.152,3.297,9.681,ANTXR1
9.362,-19.644,-6.548,ANTXR2
10.883,-25.35,-1.513,ANXA1
-14.475,-12.378,-6.657,ANXA11
-1.693,-3.312,-34.978,ANXA13
-26.669,-20.037,13.906,ANXA2
1.257,-18.424,-14.843,ANXA3
-9.394,-10.693,22.679,ANXA4
-17.272,-19.376,21.756,ANXA5
-20.692,-19.534,22.187,ANXA6
-17.718,-17.1,22.061,ANXA7
-0.26,6.7,-38.182,ANXA8
0.831,2.031,-14.321,ANXA9
17.557,-13.474,-14.068,AOAH
