x,y,z,gene
8.638,-1.073,-29.886,A1BG
-18.618,-8.579,-27.972,A1CF
-0.807,19.743,-8.153,A2M
9.704,12.885,-16.816,A3GALT2
5.954,5.789,3.334,A4GALT
7.592,1.957,-31.36,A4GNT
-6.617,-26.707,-3.846,AAAS
-15.868,-8.709,15.297,AACS
-19.623,-9.052,-27.79,AADAC
-16.216,-11.815,-28.039,AADAT
-10.31,-9.096,-14.769,AAED1
-17.645,-13.667,4.173,AAGAB
-21.196,-5.4,26.419,AAK1
-1.359,-20.579,7.152,AAMDC
-15.133,-23.237,26.718,AAMP
14.132,14.299,-16.948,AANAT
-10.737,-16.498,3.279,AAR2
-2.051,21.339,-16.761,AARD
-21.892,-16.288,27.611,AARS
-8.114,-9.031,-8.118,AARS2
-8.671,-23.498,6.704,AARSD1
4.853,-4.17,12.237,AASDH
-7.897,-22.447,13.432,AASDHPPT
-15.82,-10.924,-23.413,AASS
-7.91,-24.675,-2.116,AATF
-10.857,20.71,18.434,AATK
-20.118,6.89,6.13,ABAT
-25.739,-10.167,7.36,ABCA1
14.186,7.383,8.034,ABCA12
13.312,15.386,-1.57,ABCA13
-24.145,0.445,9.146,ABCA2
-16.848,-4.516,17.554,ABCA3
9.845,12.31,4.96,ABCA4
-14.832,9.985,9.512,ABCA5
-14.636,-9.796,-24.197,ABCA6
6.585,-19.211,-6.356,ABCA7
16.42,-9.485,-10.457,ABCA9
-13.76,-17.068,-1.219,ABCB10
-18.834,-13.775,-27.935,ABCB11
-14.016,-14.535,-18.231,ABCB4
6.478,22.967,-34.938,ABCB5
-10.264,-12.362,-13.845,ABCB6
-17.711,-14.223,12.86,ABCB7
-12.209,-16.183,1.463,ABCB8
4.541,-0.373,8.872,ABCB9
-8.047,-9.006,19.615,ABCC1
2.426,-4.264,3.294,ABCC10
-0.322,26.459,-19.116,ABCC12
-18.681,-9.08,-26.242,ABCC2
-12.286,-7.281,-20.754,ABCC3
-6.236,-18.368,-7.032,ABCC4
-8.514,-6.608,34.628,ABCC5
-16.715,-11.109,-27.078,ABCC6
-9.519,28.879,-8.552,ABCC8
8.266,3.48,11.46,ABCC9
8.824,-20.961,-3.41,ABCD1
0.894,-1.989,6.198,ABCD2
-26.363,-6.632,20.669,ABCD3
3.478,-4.685,12.701,ABCD4
-15.079,-16.436,32.112,ABCE1
-15.377,-15.788,31.057,ABCF1
-16.304,-25.878,16.329,ABCF2
-20.164,-5.352,13.448,ABCF3
-7.164,-2.278,30.649,ABCG1
-1.18,-10.821,15.276,ABCG2
-8.712,22.821,4.82,ABCG4
