x,y,z,samples
-8.918,4.044,7.645,925004
-9.046,3.737,7.628,925005
-9.051,3.721,7.625,925006
-9.053,3.782,7.636,925007
-9.019,3.865,7.663,925008
-9.355,4.367,7.689,925009
-9.001,3.913,7.681,925010
-9.134,3.341,7.975,925011
-9.228,2.877,7.649,925012
-9.14,3.275,7.504,925013
-9.19,4.109,7.685,925014
-9.192,4.125,7.686,925015
-9.134,3.3,7.434,925016
-9.154,3.372,7.469,925017
-9.216,3.671,7.551,925018
-9.163,3.355,7.459,925019
-9.212,3.534,7.522,925020
-9.418,2.757,7.346,925021
-9.424,2.757,7.351,925022
-9.186,2.903,7.291,925023
-9.191,2.901,7.292,925024
-10.282,1.485,8.007,925025
-10.302,1.474,8.007,925026
10.52,-7.076,-5.01,929704
-9.019,20.414,-0.838,929712
-4.07,-3.65,11.755,929713
3.146,-4.102,-23.401,929714
-11.13,5.707,-22.401,929715
-24.946,-0.741,8.434,929716
8.846,-9.738,-2.055,929721
0.834,4.067,8.221,929722
-12.883,9.219,10.793,929723
-20.313,3.998,10.004,929724
18.332,0.269,17.163,935897
18.267,0.23,17.146,935898
18.115,0.107,17.161,935899
18.138,0.149,17.144,935900
16.621,-0.351,16.953,935901
16.5,-0.533,16.917,935902
17.979,-4.879,15.926,945907
2.034,-4.086,16.096,945908
2.049,-4.069,16.102,945909
4.076,-15.461,-4.539,945996
-10.698,5.702,-21.343,947964
14.634,-11.777,-16.375,948900
14.874,-11.635,-16.461,948901
14.368,-11.983,-16.338,948902
14.496,-11.896,-16.385,948903
12.782,-0.271,-21.766,949917
12.832,-0.283,-21.767,949918
12.8,-0.263,-21.75,949919
12.83,-0.301,-21.772,949920
4.506,-12.651,-15.276,950622
4.48,-12.656,-15.262,950623
0.895,-13.66,-14.741,950624
0.929,-13.596,-14.792,950625
15.06,-10.841,-16.067,950630
14.882,-10.704,-15.867,950631
15.1,-10.851,-16.092,950632
15.092,-10.87,-16.116,950633
14.874,-10.698,-15.87,950634
15.093,-10.848,-16.09,950635
14.316,-11.889,-16.079,950636
14.357,-11.86,-16.122,950637
14.119,-12.05,-16.342,950638
14.636,-11.7,-16.237,950639
9.857,-11.992,-8.642,950640
14.426,-11.855,-16.257,950641
7.084,-3.104,-14.279,951559
6.908,-3.01,-14.357,951560
6.491,-2.938,-14.482,951561
4.653,-7.721,-17.385,951562
4.24,-7.959,-17.526,951563
6.985,-3.033,-14.169,951564
6.819,-2.955,-14.275,951565
6.041,-2.895,-14.411,951566
4.934,-7.486,-16.506,951567
4.976,-7.548,-16.399,951568
-1.28,18.624,7.702,951984
-1.569,18.462,7.946,951985
-1.584,18.483,8.022,951986
-8.88,1.668,7.777,955426
-8.862,1.757,7.755,955427
-8.874,1.634,7.781,955428
-8.822,1.645,7.693,955429
17.133,-6.718,4.386,956517
17.119,-6.668,4.406,956518
17.077,-6.489,4.471,956519
17.111,-9.24,3.471,956520
17.214,-9.003,3.525,956521
17.082,-9.274,3.427,956522
15.041,-10.831,-16.119,957180
14.947,-10.707,-15.969,957181
15.08,-10.827,-16.077,957183
14.962,-10.765,-15.939,957184
15.106,-10.805,-16.069,957185
17.053,-9.769,1.336,957700
17.378,-9.929,1.764,957701
17.202,-9.729,1.49,957702
14.255,-9.937,1.059,957703
17.043,-9.702,1.264,957704
-2.157,18.187,1.657,959617
-2.204,18.157,1.643,959618
8.741,26.022,2.49,967487
8.743,26.023,2.463,967488
8.77,26.037,2.437,967489
-11.143,-0.031,9.197,970463
-11.158,-0.038,9.166,970464
-11.162,-0.044,9.165,970465
-11.145,-0.043,9.186,970466
-11.146,-0.032,9.168,970467
-11.127,-0.057,9.174,970468
-12.252,-0.269,5.987,970469
-12.277,-0.267,6.025,970470
-12.294,-0.279,6.04,970471
-12.266,-0.267,6.005,970472
-12.237,-0.25,5.962,970473
-12.212,-0.189,5.94,970474
-12.236,-0.205,5.97,970475
-12.243,-0.221,5.988,970476
-12.239,-0.232,5.957,970477
-12.277,-0.263,5.998,970478
-12.236,-0.226,5.963,970479
-11.17,-0.054,9.165,970480
-11.169,-0.046,9.152,970481
-11.167,-0.054,9.138,970482
-11.181,-0.051,9.139,970483
-11.173,-0.053,9.099,970484
-12.253,-0.253,5.994,970485
-12.247,-0.243,5.985,970486
-12.244,-0.239,5.985,970487
-12.224,-0.247,5.963,970488
-12.21,-0.213,5.936,970489
-12.232,-0.245,5.96,970490
-12.252,-0.257,5.981,970491
-12.263,-0.263,5.992,970492
-12.266,-0.254,5.997,970493
-12.255,-0.253,5.978,970494
-12.261,-0.248,5.99,970495
-12.264,-0.256,5.993,970496
9.413,-7.703,18.01,970539
9.405,-7.724,18.056,970540
11.058,-5.869,16.644,970541
10.698,-5.599,16.694,970542
10.779,-5.642,16.552,970543
9.723,-7.271,-5.086,973232
9.635,-7.419,-5.018,973233
2.039,-10.399,-25.144,973234
15.986,-1.516,14.747,973235
9.323,-5.791,21.052,976919
6.911,-5.327,18.786,976920
2.659,-3.749,16.793,976921
2.02,-3.723,16.688,976922
9.273,-5.627,20.829,976923
6.968,-5.347,18.813,976924
2.799,-3.919,16.837,976925
2.077,-3.768,16.7,976926
9.047,-4.688,19.742,976927
6.803,-5.28,18.717,976928
9.059,-5.055,19.915,976929
9.503,-5.564,20.649,976930
1.319,-3.397,16.627,976931
1.381,-3.307,16.81,976932
1.439,-3.356,16.679,976933
1.335,-3.367,16.665,976934
14.327,-0.669,-22.148,978773
14.642,-0.667,-22.101,978774
15.025,-0.778,-22.1,978775
14.097,-0.656,-22.061,978776
14.091,-0.686,-22.081,978777
7.644,-2.869,-19.132,978778
7.629,-2.866,-19.133,978779
-1.386,12.386,1.064,979664
-1.389,12.377,1.058,979665
-1.34,12.35,1.038,979666
-1.398,12.383,1.059,979667
-1.403,12.398,1.063,979668
-1.403,12.377,1.062,979669
-1.394,12.383,1.066,979670
-1.385,12.378,1.061,979671
-1.402,12.395,1.072,979672
3.99,12.849,15.805,981214
3.726,12.466,15.543,981215
1.511,11.531,14.691,981216
3.996,12.871,15.82,981217
3.762,12.526,15.568,981218
1.42,11.539,14.68,981219
-3.937,-2.768,11.126,981302
-3.945,-2.761,11.128,981303
-3.94,-2.766,11.142,981304
-3.986,-2.712,11.117,981305
-11.891,7.27,-23.298,984431
-11.898,7.315,-23.397,984432
8.943,-4.091,18.87,984547
8.961,-4.183,18.83,984548
8.851,-3.815,18.939,984549
9.127,-4.396,18.233,984550
8.979,-4.373,18.311,984551
